InMichelin,Restaurant Name,Food,Decor,Service,Price
0,La Ripaille,19,17,20,45
1,Landmarc,23,21,23,47
1,Le Bernardin,28,27,28,100
1,Le Bilboquet,20,15,15,50
0,Le Boeuf à la Mode,20,19,21,51
0,Le Charlot,19,15,15,50
1,Le Colonial,21,23,19,50
0,Le Gamin,20,17,14,22
1,Le Gigot,25,19,23,50
0,Le Jardin Bistro,21,18,19,40
0,Le Madeleine,20,19,19,44
0,Le Marais,20,14,16,50
0,Le Monde,17,18,14,30
1,Le Perigord,25,21,25,72
0,Le Pescadou,18,15,19,46
0,Le Refuge,21,20,21,53
0,Le Rivage,20,16,20,41
0,Le Singe Vert,19,17,16,36
1,Le Tableau,23,15,21,40
0,Les Enfants Terribles,21,20,18,37
1,Les Halles,21,17,16,42
1,Le Zinc,19,17,17,41
0,Lucien,22,17,18,39
0,Madison Bistro,19,16,18,43
1,Mark's,23,24,24,66
1,Marseille,20,19,19,48
1,Mercer Kitchen,22,22,19,53
0,Metropol,18,18,17,41
1,"Modern, The",25,26,22,70
0,Mon Petit Cafe,19,14,17,34
0,Montparnasse,20,19,18,43
1,Montrachet,26,20,24,68
0,Métisse,20,17,20,41
1,Nice Matin,20,19,18,45
1,Odeon,18,17,17,42
1,Orsay,18,21,17,53
1,Paradou,19,17,18,38
0,Paris Commune,18,18,16,39
1,Park Bistro,21,18,20,48
1,Park Terrace Bistro,21,20,20,33
0,Pascalou,20,13,17,39
1,Pastis,21,21,17,43
1,Payard Bistro,24,21,19,51
1,per se,28,27,28,201
0,Pershing Square,15,16,15,38
1,Petrossian,25,24,24,72
1,Picholine,27,24,25,79
0,Picnic Market & Café,23,13,17,27
0,Pigalle,17,17,16,34
0,Provence,21,21,20,52
1,Quatorze Bis,21,19,19,52
0,Raga,22,18,21,38
1,Raoul's,23,19,20,53
1,René Pujol,22,19,21,55
0,Rue 57,19,19,17,45
1,Sapa,21,26,19,55
0,Savann,19,15,18,38
0,Seppi's,18,16,17,44
0,Steak Frites,18,16,16,40
0,Table d'Hôte,19,17,19,43
0,Tartine,22,14,16,27
0,Terrace in the Sky,23,25,21,62
1,Tocqueville,25,21,24,65
1,Triomphe,25,22,22,65
0,Village,20,20,19,40
1,Vong,23,24,21,60
