y M So Ed Po1 Po2 LF M.F Pop NW U1 U2 GDP Ineq Prob Time
-1.46 -0.28 -0.71  0.30 -0.54 -0.33 -0.52 -0.61 -0.80 -0.94 -0.86 -1.42  0.40 -1.38 -0.48  0.27
-0.54  2.18  1.38 -1.49 -0.91 -0.94 -0.99 -0.34  0.25  1.49 -1.30 -0.94 -1.34  1.08  1.24  0.24
 0.43  0.67  1.38 -0.15 -0.74 -0.58 -0.03 -0.37 -0.36 -0.06 -1.08 -1.18 -0.66  0.98  0.11 -0.15
-0.88 -0.44 -0.71 -0.15 -1.14 -1.19  0.94  1.39 -0.78 -0.59  0.20 -0.83 -1.04  0.78  0.30 -1.40
-0.20  0.83  1.38 -1.58 -0.81 -0.94 -1.14 -1.02 -0.02  0.62 -0.53  0.12 -1.35  1.43  0.00  0.10
 0.64  0.51  1.38 -0.15 -0.10 -0.22 -0.03 -0.07  1.56  0.24 -0.41 -0.35 -0.39  0.85 -0.36  0.38
-0.06  0.75 -0.71  1.46 -0.44 -0.51  0.99  0.51 -0.73 -0.80 -0.64 -1.66  0.67 -1.25 -0.97  0.48
-1.16  0.03  1.38 -1.58 -1.31 -1.40 -2.01 -0.51 -0.46 -0.51  2.19  2.25 -0.71  1.38  0.40  0.85
-0.29  0.99  1.38 -1.31 -0.91 -0.87 -1.27 -1.12 -0.10  1.94  0.70  0.83 -1.36  1.68  1.65 -0.06
 1.89  0.35 -0.71  0.66  0.61  0.53  0.54  0.98 -0.62  0.01  0.03  0.24  0.33  0.00 -0.77 -0.18
 0.85  0.19 -0.71  1.37  0.81  0.74  0.74  0.07 -0.49 -0.69 -0.25 -1.66  0.55 -0.50 -0.25 -0.75
-0.52  0.11 -0.71  1.11 -0.47 -0.44  1.75  1.56 -0.78 -0.84  0.25 -1.18  0.01 -0.50 -0.11 -0.99
 1.99 -1.16 -0.71 -0.06  1.21  1.28  0.47 -0.58  1.69  0.05 -1.02  0.12  1.36 -0.60 -1.36  2.12
-0.28  1.07  1.38 -1.67 -0.94 -0.97 -0.77  0.10 -0.17 -0.28 -0.19  1.07 -1.25  1.75  0.97 -0.55
-0.40 -0.68 -0.71  0.93  1.45  1.71 -0.62 -1.66  0.38 -0.75 -0.97  0.00  1.05 -1.48 -1.23 -0.24
 0.83 -1.08 -0.71  0.21  0.94  0.89  0.14  0.07  1.09 -0.07  1.92  2.84  1.04 -0.70 -0.54 -0.03
-0.42 -1.00 -0.71  0.21 -0.37 -0.47  1.01  0.03 -0.07 -0.87  0.36 -0.12  0.33  0.03 -1.07  1.55
 0.16 -0.60 -0.71  0.93 -0.24 -0.26  0.32  1.87 -0.78 -0.63  2.58  0.95  0.15 -0.45 -0.24 -1.27
 0.80  1.07 -0.71  0.57 -0.10 -0.15  0.24  1.19 -0.70 -0.22  0.42 -0.71  0.12  0.53 -0.39 -0.11
 0.36 -1.56 -0.71  0.12  2.73  2.75 -0.99 -1.53  3.45 -0.12 -0.19  0.24  1.16 -1.00 -1.04  1.43
-1.38  0.11 -0.71 -1.13 -1.01 -0.94 -0.65  2.10 -0.80 -0.79  2.19  0.71 -0.75  0.15 -0.22 -0.68
-0.39 -1.08 -0.71  0.30  0.17  0.03  0.61 -0.65  1.59 -0.19  0.53  1.07  0.95 -0.78 -0.19  0.61
 0.05 -1.00 -0.71  1.11  0.40  0.60 -0.47  0.24 -0.49 -0.78  0.36  0.12  0.66 -0.70 -0.28 -0.69
-0.65 -1.24 -0.71 -0.33  0.40  0.24 -0.87 -1.19  2.01 -0.24  1.58  1.90  0.48 -0.90 -1.16  1.52
 0.95  0.91 -0.71 -0.50  0.81  0.64 -0.75 -0.65 -0.73 -0.75 -0.47  0.48  0.35 -1.03 -1.77  2.46
-0.19  3.06  1.38 -1.67 -0.91 -0.87  1.90 -0.31 -0.33  2.41 -1.08 -0.71 -1.49  1.50 -0.08  0.72
-0.94  0.19 -0.71  0.30 -0.98 -0.94 -0.95 -0.51 -0.86 -0.96  0.64  0.36 -0.38 -0.60  1.84 -2.03
-0.21  1.86  1.38 -0.59 -0.34 -0.37 -0.97  0.44  0.09  1.04 -1.25 -0.83 -0.30  0.75  0.34  0.76
 0.32 -0.20 -0.71  1.37  0.34  0.56  0.32  0.98 -0.20 -0.63  0.86  0.36  1.00 -0.80 -0.84  0.48
-1.03 -1.00 -0.71 -0.15  0.71  0.60  0.94  0.20  0.09 -0.75 -0.97 -1.06  0.70 -0.58 -0.02 -1.40
-0.15 -0.68 -0.71  1.37  0.17  0.39  1.53  2.24 -0.88 -0.77  0.97  0.71  0.65 -0.85  0.25 -1.48
